PostcodeDistrict,EstimatedCatPopulation
TA19,"4,982.71"
TA2,"5,801.77"
TA20,"6,129.26"
TA21,"9,284.23"
TA22,"1,379.67"
TA23,"1,456.24"
TA24,"6,084.95"
TA3,"6,341.90"
TA4,"6,770.70"
TA5,"4,405.53"
TA6,"11,868.76"
TA7,"10,555.77"
TA8,"5,706.88"
TA9,"3,462.38"
TD1,"4,203.53"
TD10,674.238976
TD11,"5,999.79"
TD12,"3,847.24"
TD13,290.5602677
TD14,"2,117.21"
TD15,"6,788.62"
TD2,557.8438759
TD3,"1,211.01"
TD4,315.9001881
TD5,"5,291.85"
TD6,"2,521.76"
TD7,"1,482.01"
TD8,920.4044448
TD9,"4,754.13"
TF1,"8,266.92"
TF10,"6,862.55"
TF11,"5,320.11"
TF12,"2,209.82"
TF13,"1,814.75"
TF2,"8,289.53"
TF3,"2,654.72"
TF4,"2,390.23"
TF5,457.5842608
TF6,"1,180.22"
TF7,"1,247.38"
TF8,733.2212165
TF9,"12,107.15"
TN1,"1,672.63"
TN10,471.7158505
TN11,"1,424.10"
TN12,"15,405.71"
TN13,"5,565.33"
TN14,"5,215.28"
TN15,"6,871.82"
TN16,"4,824.18"
TN17,"7,996.45"
TN18,"1,807.36"
TN19,"1,857.49"
TN2,"4,283.91"
TN20,625.9147084
TN21,"6,225.43"
TN22,"7,843.44"
TN23,"6,437.30"
TN24,"4,287.90"
TN25,"3,703.23"
TN26,"1,833.76"
TN27,"5,442.37"
TN28,"2,391.28"
TN29,"3,851.24"
TN3,"1,226.20"
TN30,"4,137.57"
TN31,"4,207.19"
TN32,"2,422.54"
TN33,"5,026.91"
TN34,"2,508.25"
TN35,"1,621.23"
TN36,421.5591239
TN37,"2,054.76"
TN38,"2,617.09"
TN39,"4,724.81"
TN4,"4,170.93"
TN40,"2,947.76"
TN5,"1,655.17"
TN6,"3,699.57"
TN7,296.1846378
TN8,"2,373.24"
TN9,"1,804.90"
TQ1,"4,585.88"
TQ10,"1,350.45"
TQ11,"1,074.05"
TQ12,"13,879.08"
TQ13,"8,456.53"
TQ14,"3,781.12"
TQ2,"10,287.61"
TQ3,"6,834.33"
TQ4,"3,899.60"
TQ5,"5,700.52"
TQ6,"1,922.95"
TQ7,"6,790.93"
TQ8,"1,271.50"
TQ9,"10,339.91"
TR1,"10,309.16"
TR10,"1,879.90"
TR11,"8,269.62"
TR12,"1,851.30"
TR13,"5,916.23"
TR14,"8,263.74"
TR15,"5,316.88"
TR16,"3,943.79"
TR17,340.0423186
TR18,"3,398.76"
TR19,"2,177.19"
TR2,"5,492.71"
TR20,"2,157.75"
TR21,184.4476717
TR22,7.44139596
TR23,10.5697762
TR24,30.30757527
TR25,10.53304894
TR26,"4,815.51"
TR27,"6,356.74"
TR3,"2,991.51"
TR4,"3,748.27"
TR5,345.6530911
TR6,413.4701306
TR7,"6,509.10"
TR8,"4,266.53"
TR9,"5,710.40"
TS1,"3,507.04"
TS10,"4,239.47"
TS11,"2,314.96"
TS12,"3,567.40"
TS13,"1,028.66"
TS14,"3,047.86"
TS15,"2,981.13"
TS16,"2,003.53"
TS17,"8,458.43"
TS18,"2,568.27"
TS19,"2,609.10"
TS2,775.8044522
TS20,"2,474.37"
TS21,"1,892.99"
TS22,714.6931597
TS23,"5,149.33"
TS24,"1,675.62"
TS25,"3,983.08"
TS26,"2,533.13"
TS27,656.6818547
TS28,200.1179759
TS29,358.8935254
TS3,370.6005604
TS4,453.1008846
TS5,"3,323.24"
TS6,403.2371514
TS7,723.8197669
TS8,"1,305.07"
TS9,"4,571.80"
TW1,"2,933.12"
TW10,"2,980.51"
TW11,"3,926.66"
TW12,"3,775.84"
TW13,"3,649.61"
TW14,"1,882.10"
TW15,"3,607.69"
TW16,"3,774.67"
TW17,"3,100.86"
TW18,"5,300.30"
TW19,"1,831.92"
TW2,"2,937.91"
TW20,"6,331.82"
TW3,"1,672.37"
TW4,"1,109.72"
TW5,"1,078.35"
TW6,71.50938131
TW7,"2,791.89"
TW8,"1,141.17"
TW9,"4,966.45"
UB1,"1,576.42"
UB10,"3,022.27"
UB11,19.93040143
UB2,"1,525.89"
UB3,"3,830.88"
UB4,"2,013.34"
UB5,"3,056.62"
UB6,"2,643.85"
UB7,"2,014.87"
UB8,"2,277.23"
UB9,"2,936.40"
W10,"1,768.67"
W11,"2,694.19"
W12,"2,384.28"
W13,"2,169.00"
W14,"2,619.75"
W1A,1.227162017
W1B,98.5014783
W1C,41.41245965
W1D,149.5093248
W1F,163.0008059
W1G,515.6390619
W1H,"1,065.32"
W1J,401.1032108
W1K,609.591462
W1S,152.7850017
W1T,638.4101262
W1U,738.2733194
W1W,358.0811393
W2,"4,606.91"
W3,"2,073.34"
W4,"4,158.66"
W5,"2,321.65"
W6,"2,845.09"
W7,"2,085.54"
W8,"1,883.03"
W9,"1,952.86"
WA1,"1,974.86"
WA10,"1,885.26"
WA11,"3,703.54"
WA12,"2,004.40"
WA13,"1,864.87"
WA14,"2,638.73"
WA15,"3,435.82"
WA16,"5,132.64"
WA2,"2,664.90"
WA3,"6,827.80"
WA4,"9,527.42"
WA5,"8,669.73"
WA6,"7,101.96"
WA7,"10,208.09"
WA8,"7,555.96"
WA9,"13,027.93"
WC1A,38.40889491
WC1B,58.55713365
WC1E,75.10343737
WC1H,403.1459056
WC1N,226.886032
WC1R,27.82206495
WC1V,9.823025716
WC1X,359.5470543
WC2A,13.00927386
WC2B,31.88866375
WC2E,42.04148039
WC2H,79.05157773
WC2N,54.10940345
WC2R,12.46575972
WD17,"4,928.30"
WD18,"2,057.00"
WD19,"3,872.05"
WD23,"4,237.14"
WD24,"2,669.93"
WD25,"2,668.31"
WD3,"5,839.77"
WD4,"1,605.18"
WD5,"1,836.56"
WD6,"2,676.91"
WD7,"3,021.30"
WF1,"6,137.25"
WF10,"7,843.88"
WF11,"1,499.66"
WF12,"10,001.91"
WF13,"2,982.44"
WF14,"1,527.65"
WF15,"1,299.77"
WF16,558.8456642
WF17,"3,194.94"
WF2,"11,993.92"
WF3,"3,916.79"
WF4,"3,354.85"
WF5,"2,319.99"
WF6,"1,377.09"
WF7,"2,913.35"
WF8,"4,751.81"
WF9,"6,173.02"
WN1,"2,120.96"
WN2,"6,355.55"
WN3,"2,169.88"
WN4,"4,068.12"
WN5,"4,392.88"
WN6,"4,103.53"
WN7,"6,711.70"
WN8,"4,293.20"
WR1,"1,529.69"
WR10,"5,634.24"
WR11,"9,438.07"
WR12,"2,513.90"
WR13,"1,780.67"
WR14,"6,983.48"
WR15,"6,885.74"
WR2,"7,022.08"
WR3,"3,026.08"
WR4,"4,421.61"
WR5,"5,537.08"
WR6,"3,807.00"
WR7,"1,682.79"
WR8,"3,462.75"
WR9,"10,329.59"
WS1,"1,790.39"
WS10,"1,852.47"
WS11,"5,415.05"
WS12,"2,691.47"
WS13,"8,484.34"
WS14,"6,493.85"
WS15,"8,725.38"
WS2,"2,912.97"
WS3,"7,445.15"
WS4,"1,512.44"
WS5,"1,228.87"
WS6,"1,264.15"
WS7,"5,794.87"
WS8,"3,501.40"
WS9,"4,182.79"
WV1,"2,775.63"
WV10,"3,894.02"
WV11,"2,474.39"
WV12,"3,122.55"
WV13,"1,375.20"
WV14,"2,529.19"
WV15,"2,771.83"
WV16,"6,282.23"
WV2,"3,200.02"
WV3,"4,421.27"
WV4,"3,879.11"
WV5,"2,826.44"
WV6,"7,760.84"
WV7,649.3937411
WV8,"2,722.92"
WV9,443.6949663
YO1,"2,351.44"
YO10,"5,696.52"
YO11,"2,245.54"
YO12,"5,168.20"
YO13,"1,967.58"
YO14,"2,596.45"
YO15,"3,702.97"
YO16,"3,716.87"
YO17,"5,327.97"
YO18,"7,199.47"
SN38,0
SN99,0
SO97,0
SR9,0
SS99,0
ST55,0
SW95,0
SY99,0
WA55,0
WA88,0
WD99,0
WF90,0
WR99,0
YO19,"6,194.36"
YO21,"5,201.40"
YO22,"1,971.31"
YO23,"3,584.23"
YO24,"6,682.08"
YO25,"10,112.60"
YO26,"9,220.54"
YO30,"5,660.64"
YO31,"4,337.81"
YO32,"5,595.20"
YO41,"3,196.74"
YO42,"5,424.34"
YO43,"6,086.83"
YO51,"1,777.57"
YO60,"3,934.39"
YO61,"12,043.33"
YO62,"7,248.41"
YO7,"4,770.97"
YO8,"5,115.47"
ZE1,"1,895.51"
ZE2,"4,586.34"
ZE3,105.0080493
YO90,0
