PostcodeDistrict,EstimatedCatPopulation
CT9,"5,059.56"
CV1,"2,222.60"
CV10,"4,706.26"
CV11,"5,993.40"
CV12,"1,950.77"
CV13,"1,463.01"
CV2,"3,054.10"
CV21,"5,366.08"
CV22,"5,532.24"
CV23,"3,309.77"
CV3,"4,470.73"
CV31,"5,223.53"
CV32,"8,925.60"
CV33,"1,907.59"
CV34,"4,165.48"
CV35,"5,691.02"
CV36,"2,778.02"
CV37,"8,964.11"
CV4,"5,978.36"
CV47,"3,723.45"
CV5,"6,781.95"
CV6,"8,130.20"
CV7,"6,134.45"
CV8,"6,494.66"
CV9,"5,778.95"
CW1,"10,450.04"
CW10,"1,558.10"
CW11,"4,720.85"
CW12,"14,281.83"
CW2,"5,216.63"
CW3,"1,899.78"
CW4,"2,465.65"
CW5,"12,470.86"
CW6,"4,186.40"
CW7,"4,375.18"
CW8,"2,643.52"
CW9,"3,386.55"
DA1,"5,557.53"
DA10,742.2524364
DA11,"5,816.88"
DA12,"1,277.14"
DA13,"4,301.47"
DA14,"7,220.16"
DA15,"1,968.10"
DA16,"1,873.77"
DA17,884.1401587
DA18,229.8993912
DA2,"2,691.98"
DA3,"6,060.51"
DA4,"1,863.03"
DA5,"2,253.98"
DA6,777.4546634
DA7,"2,033.56"
DA8,"1,593.82"
DA9,"1,316.61"
DD1,727.3410374
DD10,"8,883.80"
DD11,"3,723.40"
DD2,"5,275.84"
DD3,"4,079.35"
DD4,"5,112.44"
DD5,"10,108.75"
DD6,"2,566.27"
DD7,"3,494.08"
DD8,"9,621.43"
DD9,"1,703.21"
DE1,"5,920.05"
DE11,"4,801.56"
DE12,"2,670.91"
DE13,"16,085.40"
DE14,"7,413.08"
DE15,"6,439.18"
DE21,"8,415.56"
DE22,"4,334.05"
DE23,"6,778.23"
DE24,"6,904.85"
DE3,"4,674.75"
DE4,"13,620.43"
DE45,"3,253.45"
DE5,"6,389.44"
DE55,"6,609.43"
DE56,"11,742.38"
DE6,"8,446.02"
DE65,"11,200.86"
DE7,"6,909.45"
DE72,"1,474.45"
DE73,"1,328.60"
DE74,"2,864.62"
DE75,"4,530.82"
DG1,"9,362.13"
DG10,"1,006.41"
DG11,"9,248.37"
DG12,"6,063.96"
DG13,"2,884.36"
DG14,599.5871965
DG16,"1,292.46"
DG2,"2,969.02"
DG3,"5,260.64"
DG4,"4,610.97"
DG5,"2,257.16"
DG6,"1,073.74"
DG7,"8,017.77"
DG8,"5,182.62"
DG9,"5,006.77"
DH1,"7,273.57"
DH2,"7,102.07"
DH3,"6,087.88"
DH4,"3,403.99"
DH5,"1,605.91"
DH6,"2,894.72"
DH7,"5,445.26"
DH8,"3,319.79"
DH9,"2,214.92"
DL1,"4,325.36"
DL10,"4,991.93"
DL11,"4,997.15"
DL12,"5,146.72"
DL13,"1,434.25"
DL14,"7,011.67"
DL15,"2,301.18"
DL16,"1,896.75"
DL17,"1,239.95"
DL2,"5,781.23"
DL3,"3,330.21"
DL4,"1,085.16"
DL5,"3,541.50"
DL6,"8,231.44"
DL7,"5,152.86"
DL8,"17,391.45"
DL9,"2,396.61"
DN1,"1,081.87"
DN10,"1,878.00"
DN11,"1,525.30"
DN12,"1,488.25"
DN14,"8,491.64"
DN15,"11,894.21"
DN16,"2,754.43"
DN17,"6,191.90"
DN18,"2,722.57"
DN19,"1,340.90"
DN2,"3,114.75"
DN20,"3,336.42"
DN21,"2,133.50"
DN22,"6,219.46"
DN3,"2,713.22"
DN31,"2,687.16"
DN32,"4,208.56"
DN33,"1,374.15"
DN34,"1,807.44"
DN35,"2,884.11"
DN36,"3,494.52"
DN37,"2,598.89"
DN38,557.2350794
DN39,"1,005.95"
DN4,"3,998.06"
DN40,"1,582.59"
DN41,"1,107.78"
DN5,"3,907.60"
DN6,"4,120.62"
DN7,"1,119.67"
DN8,"2,682.93"
DN9,"5,185.17"
DT1,"7,366.59"
DT10,"6,975.27"
DT11,"14,299.10"
DT2,"7,906.91"
DT3,"6,710.04"
DT4,"7,915.23"
DT5,"3,233.55"
DT6,"6,841.76"
DT7,640.3044208
DT8,"3,015.24"
DT9,"7,443.02"
DY1,"3,904.08"
DY10,"8,889.61"
DY11,"4,700.90"
DY12,"2,943.81"
DY13,"4,345.61"
DY14,"4,113.68"
DY2,"4,101.55"
DY3,"3,040.57"
DY4,"2,773.11"
DY5,"2,772.18"
DY6,"1,517.62"
DY7,"1,534.30"
DY8,"5,536.38"
DY9,"5,365.07"
E1,"1,328.87"
E10,"1,359.32"
